,text,label
22,"""Escape Route: Hotels With Secret Entrances and Exits"" is the title for ""If you've got the means and the desire, you can find several hotels around the country that offer stealth access for VIPs. Here are five of the coolest."".Generate a headline for the following article: Sure, cats and dogs are fun hotel pets, but so are the penguins, wolves and giraffes that call these resorts around the world home.",9 Animals You Wouldn't Expect To See In A Hotel (PHOTOS)
23,"""How to Eat Healthy Around the World (Bone Broth, Anyone?)"" is the title for ""Almost every culture incorporates restorative foods into its cuisine as much for their delicious flavors as for their beneficial nutrients. Treat yourself to the best of both worlds."".Generate a headline for the following article: Of the 981 properties included on UNESCO's World Heritage List, some 44 are categorized as in-danger, for reasons ranging from political instability to irresponsible tourism.",Incredible UNESCO Sites You May Never See Again
24,"""Fourth Of July: Amazing State Capitol Buildings (PHOTOS)"" is the title for ""State capitals may be hotbeds of partisan madness, but they are also the hubs around which local economies, cultures and sentiments spin."".Generate a headline for the following article: Carry-on restrictions and baggage fees be damned: Our readers love to shop on vacation, and they know where to do it. Nearly",The Best U.S. Cities for Shopping
25,"""The Norwegian Town Whose Name Is One Letter Long"" is the title for ""Manufacturing the world's longest town name sure put the village of Llanfairpwllgwyngyllgogerychwyrndrobwllllantysiliogogogoch, Wales on the map--if there are any maps that actually have room for a 58-letter town."".Generate a headline for the following article: There are a lot of advertisements out there for the Sochi Olympics right now, but these vintage travel posters are the ones we prefer.",Awesome and Artful Vintage Olympic Posters
26,"""Best Road Trips: Iconic American Drives Worth the Gas Money"" is the title for ""With the price of gas trending downward, there's no better time to jump in the car, put the top down, and head out for a drive. Here, we have 10 itineraries for some of the country's most classic road trips."".Generate a headline for the following article: When we head into the great outdoors, we generally want an equally great indoors waiting for us. Also some hot chocolate.",Winter-Proof Log Cabins For A Snowstorm Getaway (PHOTOS)
27,"""The Hottest Places To Honeymoon In 2012 (PHOTOS)"" is the title for ""Unlike some travelers who wouldn't be caught dead at last year's ""it"" resort, honeymooners tend to be a less fickle bunch. Still, every year has its buzzy honeymoon spots, and 2012 is no exception."".Generate a headline for the following article: 4. EAST, Miami, FL Proof that Miami has more to offer than beaches and buzzy clubs — the city’s biggest opening last year",Best New Hotels In The U.S. And Canada
28,"""How to Eat Healthy Around the World (Bone Broth, Anyone?)"" is the title for ""Almost every culture incorporates restorative foods into its cuisine as much for their delicious flavors as for their beneficial nutrients. Treat yourself to the best of both worlds."".Generate a headline for the following article: Authors' homes are their castles, offices and -- more often than not -- places of pilgrimage for their fans.",Visiting Famous Authors' Homes (PHOTOS)
29,"""7 Great Hikes Around The World (PHOTOS)"" is the title for ""These hikes  may be the loveliest in the world. Go for a walk."".Generate a headline for the following article: State capitals may be hotbeds of partisan madness, but they are also the hubs around which local economies, cultures and sentiments spin.",Fourth Of July: Amazing State Capitol Buildings (PHOTOS)
30,"""Beach Vacations With More Than Just Sand and Surf"" is the title for ""Because sand and surf aren't always enough, here are a ton of beach resorts that offer no-fail, keep-everyone-happy activities for a perfect beach vacation -- and then some."".Generate a headline for the following article: All of these spa hotels and resorts are highly rated by our readers -- and all offer transporting natural surroundings to make your stay feel like a true escape.",For Your Daydreaming Pleasure: 7 Spas With Unbelievable Views
31,"""The World's Weirdest Hotels"" is the title for ""From hotels shaped like donuts to capsules jutting from the edge of a cliff, these are the world's most weird and wonderful accommodations."".Generate a headline for the following article: From $40,000 suites with remote-controlled toilets, to 6,000-square-foot duplexes that are ""price upon request,"" these are the most expensive suites at Las Vegas' top hotels.",Vegas' Mind-Blowingly Expensive Hotel Suites
32,"""Like Food Trucks For Shopping: 11 Mobile Stores To Visit (PHOTOS)"" is the title for ""The phrase ""truck shop"" does not conjure images of sartorial grandeur. But call it the next iteration of the food cart phenomenon, and we bet you're intrigued."".Generate a headline for the following article: Loo, john, latrine, oval office, outhouse, W.C., throne room -- whatever you call it, it's a place we all have to visit sometime, no matter where we are in the world. But while the experience is universal, the way we label the space varies greatly.",Strange and Funny Bathroom Signs From Around the World
33,"""The Best New Bars of 2013"" is the title for ""No matter where you're hitting the town -- from New York to Shanghai -- these bars, clubs, and cocktail establishments will have you at the center of the city's nightlife scene."".Generate a headline for the following article: ""The Midwest -- American beer's ancestral seats -- finally stealing the spotlight back from the craft brew-sodden coasts.""","America's Best Beer Cities, As Chosen By Beer Experts"
34,"""Can You Recognize Your City From Above?"" is the title for ""Some of the best city views happen above the city. Click through for your own sky-high tour of the world..."".Generate a headline for the following article: Texas native Stephen Orr takes the road less traveled on a drive through the Lone Star State's wild western borderlands.",An Incredible Road Trip Through West Texas
35,"""12 Sochi Olympics Facts to Impress Your Friends"" is the title for ""The Olympics is now an out-of-this-world occurrence, too. For the first time, the Olympic torch has traveled out of the Earth's orbit, onto the International Space Station, and into the vacuum of space. (Unlit, of course.)"".Generate a headline for the following article: Nothing gets us more excited for summer than the prospect of an epic road trip: wind whipping through open car windows, highways flanked by stunning landscapes. Luckily, this is an easy reality in the U.S., thanks to an abundance of amazing national parks.",5 Spectacular National Park Road Trips You Need On Your Bucket List
36,"""The World's Weirdest Hotels"" is the title for ""From hotels shaped like donuts to capsules jutting from the edge of a cliff, these are the world's most weird and wonderful accommodations."".Generate a headline for the following article: From small and scrappy vessels to big barges, boats of all stripes have inspired unique accommodations.",The World's Coolest Boat Hotels (PHOTOS)
37,"""How to Live in Paradise for Less Than $1,500 a Month"" is the title for ""First off, there is a HUGE difference between being on vacation and living abroad. That image you have of sitting around on a beach chair all day with a coconut drink in your hand at a luxurious resort?"".Generate a headline for the following article: It's amazing what you pack when you have three minutes to fit your whole life in a bag. I grabbed my laptop, my passport, five t-shirts, flip flops, a swim suit, my external hard drive and my puppy. What was I forgetting? Underwear? Optional.",Dispatch: The Costa Rica Earthquake Felt In Nicaragua
38,"""Dispatch: The Costa Rica Earthquake Felt In Nicaragua"" is the title for ""It's amazing what you pack when you have three minutes to fit your whole life in a bag. I grabbed my laptop, my passport, five t-shirts, flip flops, a swim suit, my external hard drive and my puppy. What was I forgetting? Underwear? Optional."".Generate a headline for the following article: First off, there is a HUGE difference between being on vacation and living abroad. That image you have of sitting around on a beach chair all day with a coconut drink in your hand at a luxurious resort?","How to Live in Paradise for Less Than $1,500 a Month"
39,"""Walking the Tightrope of Life"" is the title for ""We all struggle to make proper use of our time and abilities. We want to be as successful, as helpful and as accomplished as possible. But we simply cannot do everything. For us to make proper choices, we much root ourselves in positive values and establish clear, rooted guidelines that govern our choices and actions."".Generate a headline for the following article: We all wish to be happy. We seek material bounty, fulfilling relationships, peace and a connection with nature. But we know that there's another, deeper aspect to happiness, one that scientists cannot measure. It is the fulfillment of our calling and mission, giving us the deep satisfaction that our time here on earth was most fulfilling, for us and those who we impacted.",In Pursuit of True Happiness
40,"""Are You a Great Listener?"" is the title for ""To succeed in today's business world, leaders must be proactive, skilled listeners. Leaders who make themselves accessible for conversation and listen regularly are well informed of the goings on in their workplaces."".Generate a headline for the following article: In taking these steps, leaders demonstrate a genuine interest in and respect for their people and their new environment. While this may not fully assuage the fears of those who worry about their new boss and her agenda, it should help put the majority of folks at ease as they settle into their new reality.",Quell the Fear Factor
41,"""Woman Wins Fake Contest and Receives an Underwater Scuba Diving Proposal [VIDEO]"" is the title for ""Zahra could have never known that when she entered a contest on Travel Blog California, she was about to win the best prize of her life."".Generate a headline for the following article: My client's concerns included finding a ""gay-friendly"" proposal venue and making sure that the crowds would be accepting of her and her partner showing affection. I was suddenly aware of the fact that I take my ability to just be with my husband in the open for granted.",Same-Sex Marriage Proposal Tips
42,"""Same-Sex Marriage Proposal Tips"" is the title for ""My client's concerns included finding a ""gay-friendly"" proposal venue and making sure that the crowds would be accepting of her and her partner showing affection. I was suddenly aware of the fact that I take my ability to just be with my husband in the open for granted."".Generate a headline for the following article: Zahra could have never known that when she entered a contest on Travel Blog California, she was about to win the best prize of her life.",Woman Wins Fake Contest and Receives an Underwater Scuba Diving Proposal [VIDEO]
43,"""Will The European Debt Crisis Affect Me?"" is the title for ""The effect the European debt crisis will have is a matter of degrees and exposure. It's hard to discern how these unfortunate events will affect us and what actions we should take. In other words, what do we have control over and when are we just being reactive?"".Generate a headline for the following article: You own part of the company (aka a share in the company). The price of that share can fluctuate given what people think the company is worth (or will be worth) and what they are willing to pay for a share.",Investing for Beginners: Basic Investment Terminology
44,"""Will The European Debt Crisis Affect Me?"" is the title for ""The effect the European debt crisis will have is a matter of degrees and exposure. It's hard to discern how these unfortunate events will affect us and what actions we should take. In other words, what do we have control over and when are we just being reactive?"".Generate a headline for the following article: For those of us that are newbies to the personal finance world with no time to do adequate research, we probably have more than a few blind spots, and a professional eye can really help.",Do I Need a Financial Planner?
45,"""The Highs And Lows Of Buying Legalized Marijuana"" is the title for ""Recently, I had my attitude checked in a marijuana dispensary. You read that right: a weed shop. If you know me personally, and are judging me right now, save it 'til the end; you may be checking your attitude too. If you don't know me, then read on, but this may be checkmate."".Generate a headline for the following article: When life throws you a 100 mph curve ball, that hits you in the face ... and then another, and another, there are lots of things you can do. If you're a child, set on survival, you block it out and move on.",Reclaiming My Dad On Father's Day
46,"""How I Became That Middle-Aged Woman Who Uses Baby Talk With Her Dogs"" is the title for ""So maybe the dogs have moved up in my affections. Maybe I spend a little more time pampering them than I used to. Perhaps they fill a hole, now that I'm not needed as a mother, the way I was for the past 24 years."".Generate a headline for the following article: My 24-year-old daughter lives in Jerusalem. It's not a large city, so anything that happens in Jerusalem, is too close for comfort in this mother's eyes. I am not a staunch pro-Israel supporter, as many expect I might be. However, this was wrong on all levels. This is black and white for me: this was terrorism.",The Jerusalem Synagogue Attack: Let's Talk Truth
47,"""Divorced, But Dating Your Ex"" is the title for ""Sometimes it's reasonable and appropriate to get back with your ex. It doesn't happen often, but in some cases it can end up being positive. However, you have to make sure that you're getting back together for the right reasons."".Generate a headline for the following article: With Thanksgiving right around the corner, it's time to start thinking about what you're thankful for this year.",Thankfully No Ex At Your Thanksgiving Dinner
48,"""Make Divorce Settlement Not War"" is the title for ""While settling a divorce that quickly in Hollywood -- or anywhere for that matter -- would normally be a ""mission impossible,"" Holmes and Cruise did it in record time."".Generate a headline for the following article: Over the years, there has a spike in the divorce rate among people ""of a certain age.""",Divorced After Decades
49,"""Thankfully No Ex At Your Thanksgiving Dinner"" is the title for ""With Thanksgiving right around the corner, it's time to start thinking about what you're thankful for this year."".Generate a headline for the following article: If you got divorced in 2012, it's time to kick off the New Year with a new you.",Thirteen Divorce Resolutions for 2013
50,"""Ritualize Your Divorce"" is the title for ""During my first year post divorce, I tried to come up with a ritual to cover every painful moment. Time flew by quickly as I did the rituals and, in the end, I had a better understanding of myself."".Generate a headline for the following article: When I look back on my starter marriage, I realize how important it was; it helped shape me into the better wife that I am today in my second marriage.",A Starter Marriage
51,"""How My Daughter’s Love Of Princesses Helps Us Connect Despite Her Special Needs"" is the title for ""From my earliest memory, I have had a deep passion for all things pink, sparkly and shiny. But I was born to parents who"".Generate a headline for the following article: Today I was struggling to figure out what to write, and I fell back on a typical strategy: I begged my kids for suggestions",How My Special Needs Daughter Told Me She Loves Me
52,"""The 'Some Days' When You're a Special Needs Family"" is the title for ""Will the boys resent the time and energy their sister required? What will they have to deal with when my husband and I are no longer here? Who will take care of Lizzy when we can't do it ourselves?"".Generate a headline for the following article: The other day I was in the middle of my morning routine of packing snacks, reminding people to wear underwear and ordering them to brush their teeth when I happened to see it, my special needs daughter's red take home folder.",My Child Can't be Defined By A Parent Intake Form
53,"""My Child Can't be Defined By A Parent Intake Form"" is the title for ""The other day I was in the middle of my morning routine of packing snacks, reminding people to wear underwear and ordering them to brush their teeth when I happened to see it, my special needs daughter's red take home folder."".Generate a headline for the following article: Will the boys resent the time and energy their sister required? What will they have to deal with when my husband and I are no longer here? Who will take care of Lizzy when we can't do it ourselves?",The 'Some Days' When You're a Special Needs Family
54,"""The Parenting Lesson I Learned From My Youngest Child"" is the title for ""Our youngest child has always had a talent for building things out of just about anything he can get his hands on. Blocks"".Generate a headline for the following article: After being a mother for 18 years, 12 as the mother of three, there are some things about raising children that I just know",Things I Know For Sure About Raising Children After 18 Years Of Motherhood
55,"""Why We Love: Our Brains on the Greatest Drug of All"" is the title for ""One of the most prevalent and least understood of human emotions, love has intrigued poets, philosophers, scientists, artists, and historians alike for centuries. At this point we know more than ever about the chemistry of attachment and the psychology of affection."".Generate a headline for the following article: If you're going to try colonic treatments, take precautions against the various risks associated with colonics and do everything to make sure you get the most out of the experience.",5 Tips for a Successful Colonic Treatment
56,"""Teenage Yogis: Fostering Peace in the Face of Rising Violence"" is the title for ""Even more impressive than the power of yoga in this story is the fierce resiliency of these teens' spirits. Perhaps yoga and meditation awaken something in the human spirit that was always there, but which we lose sight of or neglect."".Generate a headline for the following article: As it turns out, we have more of a say in the strength and resilience of our brains than we may have thought. Here are three myths to dispel before we can harness the power of our ""super brains.""",3 Myths to Dispel About the Brain
57,"""Why We Love: Our Brains on the Greatest Drug of All"" is the title for ""One of the most prevalent and least understood of human emotions, love has intrigued poets, philosophers, scientists, artists, and historians alike for centuries. At this point we know more than ever about the chemistry of attachment and the psychology of affection."".Generate a headline for the following article: Even more impressive than the power of yoga in this story is the fierce resiliency of these teens' spirits. Perhaps yoga and meditation awaken something in the human spirit that was always there, but which we lose sight of or neglect.",Teenage Yogis: Fostering Peace in the Face of Rising Violence
58,"""Post-Divorce Parenting:  How to Be a Smarter Mom, Not a Martyr Mom"" is the title for ""So, you got a divorce and now you have a raging case of parental guilt. You want to make up for the hell your kids have endured, but you're smart enough to know that buying them things is not the right way to go about it."".Generate a headline for the following article: Why do we put kids through these exercises? If we want them to develop the courage to push past fear, can't we do that in a way that doesn't require them to override other instincts we need them to respect in order to keep them safe until their brains fully develop?",Low Regard For High Ropes: Why I Don't Want My Kid Roped Into This Common Camp Activity
59,"""Taking One for the Team: Why My Valentine's Day Is Going to Totally Suck (and Yet I'm Okay With That)"" is the title for ""Valentine's Day is at the tippy top of your list of least favorite holidays right now--and that's saying something, because this year that's one crowded list. To compound the problem, hating Valentine's Day makes you feel like a bad person."".Generate a headline for the following article: Slut shaming is telling your daughter that twerking is bad because that will make people think she's a dirty girl and ruin her chances of catching a good husband. Parenting is telling your daughter that twerking is bad because it conveys an absence of self-respect and dignity.",Twerking as a Teaching Tool: How to Tell the Difference Between Slut Shaming and Parenting
60,"""Parenting: The Ultimate Joke Killer (Why I Can't Laugh at Manti Te'o)"" is the title for ""The problem is this: Whenever I see someone young enough to be my kid in a difficult situation, I tend to imagine my own kid in the same spot."".Generate a headline for the following article: This month I'm celebrating my fifth anniversary. In more traditional circles, the theme for a fifth wedding anniversary is wood. But since I'm celebrating the anniversary of my divorce, I think a more appropriate theme for me is ""would,"" as in what I wish I would have known back in 2007.","Pearls of Wisdom: The Perfect ""Annivorceary"" Gift"
61,"""Why Criticism of Gabby Douglas Should Serve as a Wake Up Call to Hibernating Mama Grizzlies Everywhere"" is the title for ""When young women who step up are ridiculed for things that have nothing to do with the subject at hand -- things that are as irrelevant as their hair and clothes -- it sends a chilling message to girls everywhere about the perils of putting oneself out there."".Generate a headline for the following article: Because many women have been raised to think ""catching a man"" is their top objective, women often approach dating as a prolonged marketing campaign. By spending your time trying to sell, you forget to consider whether you're interested in buying.",The Post-Divorce Dating Game: Tips to Make Your First Couple of Dates Fun Rather than Dysfunctional
62,"""O, Come All ye Newly Single Parents: How to Get Through the Holidays Without Singing The Blues"" is the title for ""In the immediate wake of a divorce, it's hard enough to just get through each day. The extra pressure to conjure up a warm and fuzzy holiday season for your kids is enough to turn even the fairest of us all into a wicked witch."".Generate a headline for the following article: I have developed the following survival plan to get you through even the most severe case of kid-sickness.",Summer Camp Survival Guide: How to Survive Your Kid's Stint at Summer Camp Without Ending Up in the Funny Farm
63,"""100 Percent Mid-Century, Zero Percent Modern: Phyllis Schlafly's Not-So-Secret Formula For Keeping Women Disempowered"" is the title for ""Recently, Phyllis Schlafly emerged from her 1950s time capsule with both hot glue guns blazing. She took aim at the issue of income inequality and the proposed legislation to address the problem."".Generate a headline for the following article: ""We won't let them down,"" O'Brien promised. ""We're already in negotiations with the folks at Justice, the clothing store",#Unbelievable: Mattel and 'Sports Illustrated' Team Up to Tackle Untapped Markets
64,"""In the Market for a New Year's Resolution? Check Out This Sales Pitch for Permanently Giving Up Christmas Shopping"" is the title for ""The problem isn't with Christmas itself -- it's actually my favorite holiday.  The trouble is each year there is a bigger gap between what I want to do to celebrate Christmas and what I end up doing instead."".Generate a headline for the following article: The problem is this: Whenever I see someone young enough to be my kid in a difficult situation, I tend to imagine my own kid in the same spot.",Parenting: The Ultimate Joke Killer (Why I Can't Laugh at Manti Te'o)
65,"""Plug Into Your Lower Self!"" is the title for ""Of course most of us have a vague understanding that for our own safety, when it comes to dealing with high-voltage situations, it is critical to ""ground"" the electricity.   The primary purpose of this is, in fact, to reduce the risk of serious electric shock."".Generate a headline for the following article: It's my mother's birthday this week, and I have been spending a lot of time thinking fondly of her.  But I know that I am fortunate to have had a great relationship with my mom.  For many of us, let's just acknowledge that this relationship can be a bit more... complicated.",Are You My My Mother?
66,"""Welcome to the Fall Term in the School of Hard Knocks"" is the title for ""Actively taking moments throughout the day to cultivate a more accurate, full perspective on your day might help you to see the flowers that are blooming, even in the rain!"".Generate a headline for the following article: When you feel broken, the heart is actually more alive than ever.  And in these moments -- in this moment, as painful as it is -- we have the opportunity to lose our minds so that we can come to our senses.",Broken Hearts and Sensible Starts
67,"""Awareness Brings Its Own Reward$"" is the title for ""In our home we call it the Money Game because the better we play that game, the more money seems to come our way.  You may laugh, but we've been doing it for over 30 years, and it's paid off big time."".Generate a headline for the following article: Other than letting go of our reasons why it's not possible, there is nothing more useful we can do to make this a great year. Doing so is the heart of your personal transformation.",Why Can't You Have Your Best Year Yet?
68,"""Awareness Brings Its Own Reward$"" is the title for ""In our home we call it the Money Game because the better we play that game, the more money seems to come our way.  You may laugh, but we've been doing it for over 30 years, and it's paid off big time."".Generate a headline for the following article: Money is abundant and flows spontaneously in life. Money allows me to express myself fully and contribute generously. What's",Money: Power of Your Attitude
69,"""Personal Transformation:  What's Wrong With You?"" is the title for ""There is absolutely nothing wrong with you. There's nothing to fix.  You don't need to get better or become different.  You're fine, just as you are. You know all you need to know, and you have all the answers. And you can overcome the obstacles in your way."".Generate a headline for the following article: Living life in fast forward mode means that truly important things don't happen. They get lost in the shuffle.  So, what's missing for you? You know the answer better than anyone.",It's Not About the To Do List
70,"""3 Paths to Lasting Well-Being"" is the title for ""Creating lasting well-being requires shattering those habitual tendencies that lead to stress, frustration and heartbreak.   Here are three paths I've been working on for years, and while I'm many miles from mastery, the more I practice, the more peace and happiness I find."".Generate a headline for the following article: I've discovered six paths that lead to well-being -- some work instantaneously and some generate a much more lasting result.  This week, I'll focus on the ones that work instantly.",3 Paths to Instant Well-Being
71,"""Bill Paxton Learns of His Revolutionary Past On 'Who Do You Think You Are?'"" is the title for ""Actor Bill Paxton is featured this Sunday (April 19 at 10/9c on TLC) on Who Do You Think You Are? and digs into the paternal half of his family tree. He begins by solving a long-standing mystery by determining that he is indeed related to Texan hero Sam Houston."".Generate a headline for the following article: Sean explores his paternal ancestry focusing on his Hayes line, and that leads him via Chicago and Dublin back to Ballylongford in County Kerry. What will he learn there? Check out this exclusive video provided by TLC  to get a taste:",EXCLUSIVE VIDEO: Sean Hayes Discovers Family's Criminal Past
72,"""American Idol: What They Wore, 5/2/12 (Top 5)"" is the title for ""On Wednesday's performance night, the #Idols took on the '60s and British-imported songs. Scroll down for all the fashion goodness!"".Generate a headline for the following article: For Wednesday's performance night the theme was ""California Dreaming/Songs I Wish I'd Written."" From the #Idols we heard James Brown, CCR, Journey and more, and saw plenty of #fun fashion!","American Idol: What They Wore, 5/9/12 (Top 4)"
